207,Achieve 80% of FX target,6
208,Achieve 80% of Commissions,6
209, Refer a minimum of 2 Key Accounts to remittance,6
210,Refer a minimum of 5 small clients to Remittance,6
211,Maintain Approved cost budget for 2020,15
212,Reduce Direct cost by 20%,15
213,fund raising debt/equity ,15
214,100% service delivery response rate monthly ,7
215,Ensure that Zeepay is registered and active in all 20 markets,7
216,System uptime 97percent monthly ,7
217,Key account client visit quarterly ,7
218,Ensure all compliance process are in place and adhered to,34
219,Achieve 100% reporting on all regulatory process,34
220,Ensure all compliance policies are available and signed off by board,34
221,Strict Adherence to board reporting including set calendar,34
222,Implement government programme and ensure governance officer enlist and trained at BLI,34
223,Ensure annual audit/compliance plan exists and fully implemented by quarter 1,34
224,Ensure green compliance of 80% of business ,34
225,Achieve 70% score for IT audit and financial audit,34
226,Complete testing of all 20 markets for all key networks / MNOs,34
227,No Fines,34
228,Ensure and Maintain a contract register (weekly / monthly),35
229,Ensure contract register is updated and tracked for specific performance ( daily),35
230,Develop an impact assessment document for material  breaches and update leadership weekly ,35
231,Ensure that Board meetings plan and agenda are developed and adhered to quarterly,35
232,"ensuring that Service Level Agreements exist within the internal business,track and monitor",35
233,"Ensure that allstaff, merchants and agents, are properly trained and re-trained at all times.Maintain a register of training",35
234,"Ensure all Bank of Ghana PSD reporting is done on time and within the agreed SLA, ensure that the relevant compliance reporting is met by all stakeholders and the relevant reports file to executive and board",35
235," responsible for arranging with Board Secretary to plan board meetings, and ensure all board reporting are in place monthly without fail within the first 5days of the new month",35
236,Referral of client Domestic/ remittances,7
